year,areakm,municipality,geocode_ibge,state
2007,1005.7092256458739,Acrelândia,1200013,Acre
2008,1029.376312152204,Acrelândia,1200013,Acre
2009,1042.314545623046,Acrelândia,1200013,Acre
2010,1053.6466235339763,Acrelândia,1200013,Acre
2011,1069.5852610999054,Acrelândia,1200013,Acre
2012,1073.7499786051776,Acrelândia,1200013,Acre
2013,1083.2255348562608,Acrelândia,1200013,Acre
2014,1102.1223075394882,Acrelândia,1200013,Acre
2015,1116.8841098226894,Acrelândia,1200013,Acre
2016,1140.689800397697,Acrelândia,1200013,Acre
2017,1146.4007053489913,Acrelândia,1200013,Acre
2018,1168.1851273496466,Acrelândia,1200013,Acre
2019,1188.0730744944804,Acrelândia,1200013,Acre
2020,1201.010630254953,Acrelândia,1200013,Acre
2021,1239.2759425539016,Acrelândia,1200013,Acre
2022,1257.7785676541498,Acrelândia,1200013,Acre
2007,234.39802495085524,Assis Brasil,1200054,Acre
2008,237.81755138550625,Assis Brasil,1200054,Acre
2009,239.4182503824041,Assis Brasil,1200054,Acre
2010,243.1920249002986,Assis Brasil,1200054,Acre
2011,246.01140869709826,Assis Brasil,1200054,Acre
2012,248.41015826538444,Assis Brasil,1200054,Acre
2013,253.21393623162635,Assis Brasil,1200054,Acre
2014,260.8894044530843,Assis Brasil,1200054,Acre
2015,266.8286830264569,Assis Brasil,1200054,Acre
2016,269.72263277571653,Assis Brasil,1200054,Acre
2017,276.11389025762816,Assis Brasil,1200054,Acre
2018,284.0397556058524,Assis Brasil,1200054,Acre
2019,305.1836444337257,Assis Brasil,1200054,Acre
2020,323.35845408504633,Assis Brasil,1200054,Acre
2021,341.00831785829234,Assis Brasil,1200054,Acre
2022,349.3751888321186,Assis Brasil,1200054,Acre
2007,1201.1294319303322,Brasiléia,1200104,Acre
2008,1213.7892164300379,Brasiléia,1200104,Acre
2009,1222.0067814445715,Brasiléia,1200104,Acre
2010,1233.961791973417,Brasiléia,1200104,Acre
2011,1248.4808169982834,Brasiléia,1200104,Acre
2012,1261.368883059273,Brasiléia,1200104,Acre
2013,1278.5631418017558,Brasiléia,1200104,Acre
2014,1311.9871209142661,Brasiléia,1200104,Acre
2015,1334.0474851055183,Brasiléia,1200104,Acre
2016,1351.7619301071593,Brasiléia,1200104,Acre
2017,1374.866923229725,Brasiléia,1200104,Acre
2018,1395.9540596551874,Brasiléia,1200104,Acre
2019,1454.564717008343,Brasiléia,1200104,Acre
2020,1494.685784961733,Brasiléia,1200104,Acre
2021,1555.6968797834504,Brasiléia,1200104,Acre
2022,1586.197364667957,Brasiléia,1200104,Acre
2007,1116.955936377821,Bujari,1200138,Acre
2008,1132.728016327834,Bujari,1200138,Acre
2009,1140.3492533479184,Bujari,1200138,Acre
2010,1148.6093398233036,Bujari,1200138,Acre
2011,1158.1755077863925,Bujari,1200138,Acre
2012,1168.28231519647,Bujari,1200138,Acre
2013,1176.6571916821592,Bujari,1200138,Acre
2014,1185.6422073676517,Bujari,1200138,Acre
2015,1194.9991807839776,Bujari,1200138,Acre
2016,1212.2861853761817,Bujari,1200138,Acre
2017,1219.9160834546092,Bujari,1200138,Acre
2018,1233.628476643073,Bujari,1200138,Acre
2019,1259.6830749749959,Bujari,1200138,Acre
2020,1277.3345809591026,Bujari,1200138,Acre
2021,1303.134626587695,Bujari,1200138,Acre
2022,1340.344968600144,Bujari,1200138,Acre
2007,803.5692165511615,Capixaba,1200179,Acre
2008,812.3990686585311,Capixaba,1200179,Acre
2009,816.1861946151407,Capixaba,1200179,Acre
2010,819.9347489720847,Capixaba,1200179,Acre
2011,829.3916532037094,Capixaba,1200179,Acre
2012,844.5040602397078,Capixaba,1200179,Acre
2013,850.2619178173339,Capixaba,1200179,Acre
2014,859.8802882306876,Capixaba,1200179,Acre
2015,865.9654710173487,Capixaba,1200179,Acre
2016,882.6114042834456,Capixaba,1200179,Acre
2017,894.1834084531503,Capixaba,1200179,Acre
2018,904.4475817005408,Capixaba,1200179,Acre
2019,932.2158801637169,Capixaba,1200179,Acre
2020,951.016767857921,Capixaba,1200179,Acre
2021,980.3934748169323,Capixaba,1200179,Acre
2022,1012.3707745324795,Capixaba,1200179,Acre
2007,917.3839623104692,Cruzeiro do Sul,1200203,Acre
2008,928.4086922991186,Cruzeiro do Sul,1200203,Acre
2009,932.6533122895565,Cruzeiro do Sul,1200203,Acre
2010,954.8379959625601,Cruzeiro do Sul,1200203,Acre
2011,967.5291297901448,Cruzeiro do Sul,1200203,Acre
2012,976.9874201841299,Cruzeiro do Sul,1200203,Acre
2013,982.462469643912,Cruzeiro do Sul,1200203,Acre
2014,993.1117007821322,Cruzeiro do Sul,1200203,Acre
2015,996.5461139766674,Cruzeiro do Sul,1200203,Acre
2016,1005.8091492421963,Cruzeiro do Sul,1200203,Acre
2017,1015.2573438004501,Cruzeiro do Sul,1200203,Acre
2018,1033.3193806275917,Cruzeiro do Sul,1200203,Acre
2019,1058.5315843709056,Cruzeiro do Sul,1200203,Acre
2020,1100.999595149069,Cruzeiro do Sul,1200203,Acre
2021,1134.5686861733193,Cruzeiro do Sul,1200203,Acre
2022,1189.2738561690373,Cruzeiro do Sul,1200203,Acre
2007,782.5608761292317,Epitaciolândia,1200252,Acre
2008,786.8978992110791,Epitaciolândia,1200252,Acre
2009,791.0633792074574,Epitaciolândia,1200252,Acre
2010,794.8154389432916,Epitaciolândia,1200252,Acre
2011,801.9218334081082,Epitaciolândia,1200252,Acre
2012,814.2523127505754,Epitaciolândia,1200252,Acre
2013,820.6562091217223,Epitaciolândia,1200252,Acre
2014,829.5634355833909,Epitaciolândia,1200252,Acre
2015,839.277867968238,Epitaciolândia,1200252,Acre
2016,846.5845345844984,Epitaciolândia,1200252,Acre
2017,852.131090627528,Epitaciolândia,1200252,Acre
2018,860.1188937718017,Epitaciolândia,1200252,Acre
2019,871.4933190486092,Epitaciolândia,1200252,Acre
2020,879.9406091551905,Epitaciolândia,1200252,Acre
2021,898.5888531858668,Epitaciolândia,1200252,Acre
2022,909.3237619432914,Epitaciolândia,1200252,Acre
2007,1233.0649613083058,Feijó,1200302,Acre
2008,1260.2194543067003,Feijó,1200302,Acre
2009,1279.7304053571622,Feijó,1200302,Acre
2010,1302.3804436072626,Feijó,1200302,Acre
2011,1325.7013858583323,Feijó,1200302,Acre
2012,1356.545867669103,Feijó,1200302,Acre
2013,1380.2964539357072,Feijó,1200302,Acre
2014,1417.602797441751,Feijó,1200302,Acre
2015,1428.2241673453125,Feijó,1200302,Acre
2016,1466.8546052059119,Feijó,1200302,Acre
2017,1493.2259748843435,Feijó,1200302,Acre
2018,1565.4706779268656,Feijó,1200302,Acre
2019,1659.4881408354095,Feijó,1200302,Acre
2020,1759.3652684533658,Feijó,1200302,Acre
2021,1898.3793625254634,Feijó,1200302,Acre
2022,2091.6000468958164,Feijó,1200302,Acre
2007,113.26295994694188,Jordão,1200328,Acre
2008,120.49418740358877,Jordão,1200328,Acre
2009,122.3823525329309,Jordão,1200328,Acre
2010,129.18533688668376,Jordão,1200328,Acre
2011,135.16933761793442,Jordão,1200328,Acre
2012,142.19928634558687,Jordão,1200328,Acre
2013,144.41786857640753,Jordão,1200328,Acre
2014,151.32427515622382,Jordão,1200328,Acre
2015,152.25190380853329,Jordão,1200328,Acre
2016,154.39313884518256,Jordão,1200328,Acre
2017,156.87943061117772,Jordão,1200328,Acre
2018,163.15326617629037,Jordão,1200328,Acre
2019,174.19866935873424,Jordão,1200328,Acre
2020,185.84993753280048,Jordão,1200328,Acre
2021,195.59302194491698,Jordão,1200328,Acre
2022,210.9449296921343,Jordão,1200328,Acre
2007,246.9439957170214,Manoel Urbano,1200344,Acre
2008,251.847627441108,Manoel Urbano,1200344,Acre
2009,257.17385728884227,Manoel Urbano,1200344,Acre
2010,265.36885367433194,Manoel Urbano,1200344,Acre
2011,273.3836501990696,Manoel Urbano,1200344,Acre
2012,287.0641162810839,Manoel Urbano,1200344,Acre
2013,303.3990801163047,Manoel Urbano,1200344,Acre
2014,321.85874636532145,Manoel Urbano,1200344,Acre
2015,341.0271458069542,Manoel Urbano,1200344,Acre
2016,367.94408374668757,Manoel Urbano,1200344,Acre
2017,385.5269879419209,Manoel Urbano,1200344,Acre
2018,431.98256904433464,Manoel Urbano,1200344,Acre
2019,463.60030120786547,Manoel Urbano,1200344,Acre
2020,517.6031726323165,Manoel Urbano,1200344,Acre
2021,559.1478095419774,Manoel Urbano,1200344,Acre
2022,647.4467159389566,Manoel Urbano,1200344,Acre
2007,181.82718164705352,Marechal Thaumaturgo,1200351,Acre
2008,193.6658459713545,Marechal Thaumaturgo,1200351,Acre
2009,193.72659351469395,Marechal Thaumaturgo,1200351,Acre
2010,215.71671550899902,Marechal Thaumaturgo,1200351,Acre
2011,226.60410804995956,Marechal Thaumaturgo,1200351,Acre
2012,230.27707628555262,Marechal Thaumaturgo,1200351,Acre
2013,232.4392452373172,Marechal Thaumaturgo,1200351,Acre
2014,241.30036833535135,Marechal Thaumaturgo,1200351,Acre
2015,241.7658591692019,Marechal Thaumaturgo,1200351,Acre
2016,244.30703827243352,Marechal Thaumaturgo,1200351,Acre
2017,246.89332204781593,Marechal Thaumaturgo,1200351,Acre
2018,250.9658528224193,Marechal Thaumaturgo,1200351,Acre
2019,264.58668770266536,Marechal Thaumaturgo,1200351,Acre
2020,293.2342116179394,Marechal Thaumaturgo,1200351,Acre
2021,299.5686088930848,Marechal Thaumaturgo,1200351,Acre
2022,309.35196263981436,Marechal Thaumaturgo,1200351,Acre
2007,367.1207551043815,Mâncio Lima,1200336,Acre
2008,371.42911177217195,Mâncio Lima,1200336,Acre
2009,372.7290916225014,Mâncio Lima,1200336,Acre
2010,377.3819094587638,Mâncio Lima,1200336,Acre
2011,388.9940841818967,Mâncio Lima,1200336,Acre
2012,392.28453714644525,Mâncio Lima,1200336,Acre
2013,394.88225609925536,Mâncio Lima,1200336,Acre
2014,397.8511717839166,Mâncio Lima,1200336,Acre
2015,400.1383292855304,Mâncio Lima,1200336,Acre
2016,403.12652195598395,Mâncio Lima,1200336,Acre
2017,404.96088220670663,Mâncio Lima,1200336,Acre
2018,408.61353295889757,Mâncio Lima,1200336,Acre
2019,420.65229423881436,Mâncio Lima,1200336,Acre
2020,426.86927484751254,Mâncio Lima,1200336,Acre
2021,437.5659513783498,Mâncio Lima,1200336,Acre
2022,450.7852725729547,Mâncio Lima,1200336,Acre
2007,1368.0577624327586,Plácido de Castro,1200385,Acre
2008,1371.3184190979857,Plácido de Castro,1200385,Acre
2009,1381.779389097585,Plácido de Castro,1200385,Acre
2010,1387.4725891808762,Plácido de Castro,1200385,Acre
2011,1394.422436062224,Plácido de Castro,1200385,Acre
2012,1398.2904412803207,Plácido de Castro,1200385,Acre
2013,1403.1921493254024,Plácido de Castro,1200385,Acre
2014,1410.5797650809363,Plácido de Castro,1200385,Acre
2015,1415.7339742585928,Plácido de Castro,1200385,Acre
2016,1423.5909731642014,Plácido de Castro,1200385,Acre
2017,1428.5922655091883,Plácido de Castro,1200385,Acre
2018,1440.4542221760623,Plácido de Castro,1200385,Acre
2019,1449.448671475654,Plácido de Castro,1200385,Acre
2020,1457.7325972310182,Plácido de Castro,1200385,Acre
2021,1472.9201475553882,Plácido de Castro,1200385,Acre
2022,1478.893550773071,Plácido de Castro,1200385,Acre
2007,1189.6352887479902,Porto Acre,1200807,Acre
2008,1197.8448370170527,Porto Acre,1200807,Acre
2009,1204.1433306214838,Porto Acre,1200807,Acre
2010,1216.1015102837575,Porto Acre,1200807,Acre
2011,1232.262982152835,Porto Acre,1200807,Acre
2012,1244.995419786246,Porto Acre,1200807,Acre
2013,1248.7685079569462,Porto Acre,1200807,Acre
2014,1259.0583581412006,Porto Acre,1200807,Acre
2015,1267.0043725641847,Porto Acre,1200807,Acre
2016,1282.3318788765098,Porto Acre,1200807,Acre
2017,1291.0437948232723,Porto Acre,1200807,Acre
2018,1303.515454832708,Porto Acre,1200807,Acre
2019,1326.488433416813,Porto Acre,1200807,Acre
2020,1346.0032861154216,Porto Acre,1200807,Acre
2021,1377.505670188866,Porto Acre,1200807,Acre
2022,1400.0773612401806,Porto Acre,1200807,Acre
2007,146.87686264569308,Porto Walter,1200393,Acre
2008,153.54595740860998,Porto Walter,1200393,Acre
2009,154.51675994449752,Porto Walter,1200393,Acre
2010,167.81406822686006,Porto Walter,1200393,Acre
2011,178.39378456195504,Porto Walter,1200393,Acre
2012,184.06076199483726,Porto Walter,1200393,Acre
2013,185.70999934842155,Porto Walter,1200393,Acre
2014,194.93429603536924,Porto Walter,1200393,Acre
2015,196.41600998133276,Porto Walter,1200393,Acre
2016,200.71491561271057,Porto Walter,1200393,Acre
2017,203.8014629324468,Porto Walter,1200393,Acre
2018,208.53724734223002,Porto Walter,1200393,Acre
2019,217.25501453880815,Porto Walter,1200393,Acre
2020,240.83058492793216,Porto Walter,1200393,Acre
2021,246.09252420565056,Porto Walter,1200393,Acre
2022,253.16942217700478,Porto Walter,1200393,Acre
2007,2380.220191135588,Rio Branco,1200401,Acre
2008,2409.0738410326976,Rio Branco,1200401,Acre
2009,2427.6163772127993,Rio Branco,1200401,Acre
2010,2447.5562062706767,Rio Branco,1200401,Acre
2011,2489.480444230041,Rio Branco,1200401,Acre
2012,2517.323347441168,Rio Branco,1200401,Acre
2013,2536.9519311089844,Rio Branco,1200401,Acre
2014,2569.8280622061748,Rio Branco,1200401,Acre
2015,2600.099127817747,Rio Branco,1200401,Acre
2016,2652.4780403873256,Rio Branco,1200401,Acre
2017,2678.339392384765,Rio Branco,1200401,Acre
2018,2711.0390320229544,Rio Branco,1200401,Acre
2019,2791.038510535075,Rio Branco,1200401,Acre
2020,2846.777316223511,Rio Branco,1200401,Acre
2021,2944.4064491192294,Rio Branco,1200401,Acre
2022,3062.6552466914195,Rio Branco,1200401,Acre
2007,409.71907135874346,Rodrigues Alves,1200427,Acre
2008,414.61458678888124,Rodrigues Alves,1200427,Acre
2009,417.18955444741226,Rodrigues Alves,1200427,Acre
2010,427.6118857404109,Rodrigues Alves,1200427,Acre
2011,432.31522992153043,Rodrigues Alves,1200427,Acre
2012,436.81970390783164,Rodrigues Alves,1200427,Acre
2013,440.5190670920969,Rodrigues Alves,1200427,Acre
2014,441.653230312557,Rodrigues Alves,1200427,Acre
2015,444.0085866719881,Rodrigues Alves,1200427,Acre
2016,448.8006295971029,Rodrigues Alves,1200427,Acre
2017,454.10221049934165,Rodrigues Alves,1200427,Acre
2018,463.57513767752977,Rodrigues Alves,1200427,Acre
2019,476.19680481576273,Rodrigues Alves,1200427,Acre
2020,491.7354639900229,Rodrigues Alves,1200427,Acre
2021,503.94476298184435,Rodrigues Alves,1200427,Acre
2022,527.7670634161958,Rodrigues Alves,1200427,Acre
2007,66.78308463808014,Santa Rosa do Purus,1200435,Acre
2008,68.94810004789986,Santa Rosa do Purus,1200435,Acre
2009,70.81828250319884,Santa Rosa do Purus,1200435,Acre
2010,74.02280087012096,Santa Rosa do Purus,1200435,Acre
2011,76.90482322504712,Santa Rosa do Purus,1200435,Acre
2012,79.7545284405326,Santa Rosa do Purus,1200435,Acre
2013,80.99328656746394,Santa Rosa do Purus,1200435,Acre
2014,84.91465803785243,Santa Rosa do Purus,1200435,Acre
2015,87.15812686297375,Santa Rosa do Purus,1200435,Acre
2016,89.25556647965702,Santa Rosa do Purus,1200435,Acre
2017,91.64877965768625,Santa Rosa do Purus,1200435,Acre
2018,94.48040966068507,Santa Rosa do Purus,1200435,Acre
2019,101.48391433094906,Santa Rosa do Purus,1200435,Acre
2020,106.64610735709311,Santa Rosa do Purus,1200435,Acre
2021,110.71206513663117,Santa Rosa do Purus,1200435,Acre
2022,114.26546971739454,Santa Rosa do Purus,1200435,Acre
2007,1504.4410090525816,Sena Madureira,1200500,Acre
2008,1539.2513454652371,Sena Madureira,1200500,Acre
2009,1559.8619621197874,Sena Madureira,1200500,Acre
2010,1596.8873395696498,Sena Madureira,1200500,Acre
2011,1636.2788683663196,Sena Madureira,1200500,Acre
2012,1674.7307794267015,Sena Madureira,1200500,Acre
2013,1706.7222179124556,Sena Madureira,1200500,Acre
2014,1759.0783250950078,Sena Madureira,1200500,Acre
2015,1801.3155557629343,Sena Madureira,1200500,Acre
2016,1857.33973365454,Sena Madureira,1200500,Acre
2017,1891.8650369501345,Sena Madureira,1200500,Acre
2018,1940.1418654836082,Sena Madureira,1200500,Acre
2019,2020.298890312369,Sena Madureira,1200500,Acre
2020,2093.302676754434,Sena Madureira,1200500,Acre
2021,2204.614800305711,Sena Madureira,1200500,Acre
2022,2310.4190819590854,Sena Madureira,1200500,Acre
2007,1630.1475787504755,Senador Guiomard,1200450,Acre
2008,1635.0495741827572,Senador Guiomard,1200450,Acre
2009,1642.3150171830293,Senador Guiomard,1200450,Acre
2010,1646.1699986410545,Senador Guiomard,1200450,Acre
2011,1653.1664446364205,Senador Guiomard,1200450,Acre
2012,1655.580244969202,Senador Guiomard,1200450,Acre
2013,1659.7228700543194,Senador Guiomard,1200450,Acre
2014,1663.7077176632338,Senador Guiomard,1200450,Acre
2015,1668.5980199146634,Senador Guiomard,1200450,Acre
2016,1677.7044755927852,Senador Guiomard,1200450,Acre
2017,1682.382341364358,Senador Guiomard,1200450,Acre
2018,1690.5484579362485,Senador Guiomard,1200450,Acre
2019,1697.1903149701611,Senador Guiomard,1200450,Acre
2020,1707.0413338565845,Senador Guiomard,1200450,Acre
2021,1727.2158250415328,Senador Guiomard,1200450,Acre
2022,1744.0813451104766,Senador Guiomard,1200450,Acre
2007,1305.2450271702546,Tarauacá,1200609,Acre
2008,1342.0995773218192,Tarauacá,1200609,Acre
2009,1357.5261813435516,Tarauacá,1200609,Acre
2010,1382.505564771568,Tarauacá,1200609,Acre
2011,1401.7411355924496,Tarauacá,1200609,Acre
2012,1430.5716314609742,Tarauacá,1200609,Acre
2013,1444.507877068244,Tarauacá,1200609,Acre
2014,1480.9323724505196,Tarauacá,1200609,Acre
2015,1484.7544274781865,Tarauacá,1200609,Acre
2016,1498.1824877625074,Tarauacá,1200609,Acre
2017,1513.041352760307,Tarauacá,1200609,Acre
2018,1553.2319869759458,Tarauacá,1200609,Acre
2019,1620.6503392117088,Tarauacá,1200609,Acre
2020,1672.2166087158141,Tarauacá,1200609,Acre
2021,1776.4173533040328,Tarauacá,1200609,Acre
2022,1889.1463915140814,Tarauacá,1200609,Acre
2007,1201.1834692208097,Xapuri,1200708,Acre
2008,1224.1718259736817,Xapuri,1200708,Acre
2009,1231.1712129933503,Xapuri,1200708,Acre
2010,1236.7238935311864,Xapuri,1200708,Acre
2011,1251.4812322494793,Xapuri,1200708,Acre
2012,1269.8067507406265,Xapuri,1200708,Acre
2013,1280.5402228949335,Xapuri,1200708,Acre
2014,1298.8559119288584,Xapuri,1200708,Acre
2015,1316.4605312430479,Xapuri,1200708,Acre
2016,1349.1443376907653,Xapuri,1200708,Acre
2017,1370.0933401650025,Xapuri,1200708,Acre
2018,1392.2838745196068,Xapuri,1200708,Acre
2019,1452.1886296637465,Xapuri,1200708,Acre
2020,1491.6633084742764,Xapuri,1200708,Acre
2021,1550.2750553653125,Xapuri,1200708,Acre
2022,1627.4126828875483,Xapuri,1200708,Acre
2007,102.81504108977397,Amapá,1600105,Amapá
2008,104.70488565815607,Amapá,1600105,Amapá
2009,106.5898519845078,Amapá,1600105,Amapá
2010,108.41328175395778,Amapá,1600105,Amapá
2011,108.62233055434457,Amapá,1600105,Amapá
2012,108.62233055434457,Amapá,1600105,Amapá
2013,109.07275764171696,Amapá,1600105,Amapá
2014,109.7537531029835,Amapá,1600105,Amapá
2015,110.05955954094321,Amapá,1600105,Amapá
2016,110.2022643550314,Amapá,1600105,Amapá
2017,110.36226175518225,Amapá,1600105,Amapá
2018,110.36226175518225,Amapá,1600105,Amapá
2019,111.05535414653959,Amapá,1600105,Amapá
2020,111.05535414653959,Amapá,1600105,Amapá
2021,111.05535414653959,Amapá,1600105,Amapá
2022,111.05535414653959,Amapá,1600105,Amapá
2007,159.24819110689623,Calçoene,1600204,Amapá
2008,165.55085588954904,Calçoene,1600204,Amapá
2009,173.62096023355818,Calçoene,1600204,Amapá
2010,185.50990141780883,Calçoene,1600204,Amapá
2011,186.54414784551523,Calçoene,1600204,Amapá
2012,187.6538614860975,Calçoene,1600204,Amapá
2013,190.63907766513734,Calçoene,1600204,Amapá
2014,192.392756479963,Calçoene,1600204,Amapá
2015,193.32441534984693,Calçoene,1600204,Amapá
2016,193.89487855560552,Calçoene,1600204,Amapá
2017,196.91578357941094,Calçoene,1600204,Amapá
2018,198.88717954565593,Calçoene,1600204,Amapá
2019,200.9468021579493,Calçoene,1600204,Amapá
2020,202.06167575867363,Calçoene,1600204,Amapá
2021,203.15428127156997,Calçoene,1600204,Amapá
2022,204.89008299279809,Calçoene,1600204,Amapá
2007,185.37060508031934,Cutias,1600212,Amapá
2008,187.708405530531,Cutias,1600212,Amapá
2009,187.9256766154705,Cutias,1600212,Amapá
2010,192.81075596768795,Cutias,1600212,Amapá
2011,193.15807666863,Cutias,1600212,Amapá
2012,193.15807666863,Cutias,1600212,Amapá
2013,193.3807258924601,Cutias,1600212,Amapá
2014,194.7923253699866,Cutias,1600212,Amapá
2015,195.27952652147206,Cutias,1600212,Amapá
2016,196.5987195791642,Cutias,1600212,Amapá
2017,196.7313947461221,Cutias,1600212,Amapá
2018,197.22197608458498,Cutias,1600212,Amapá
2019,198.00153412417197,Cutias,1600212,Amapá
2020,198.40402215729802,Cutias,1600212,Amapá
2021,198.50157311623815,Cutias,1600212,Amapá
2022,198.76018785937853,Cutias,1600212,Amapá
2007,130.72406596250514,Ferreira Gomes,1600238,Amapá
2008,133.2901244030898,Ferreira Gomes,1600238,Amapá
2009,134.4003477466875,Ferreira Gomes,1600238,Amapá
2010,136.71554602904175,Ferreira Gomes,1600238,Amapá
2011,137.22167735294795,Ferreira Gomes,1600238,Amapá
2012,137.37193094442227,Ferreira Gomes,1600238,Amapá
2013,137.6753569117754,Ferreira Gomes,1600238,Amapá
2014,138.30738047743435,Ferreira Gomes,1600238,Amapá
2015,141.88364768955418,Ferreira Gomes,1600238,Amapá
2016,142.84251276131522,Ferreira Gomes,1600238,Amapá
2017,142.84251276131522,Ferreira Gomes,1600238,Amapá
2018,143.2660956999769,Ferreira Gomes,1600238,Amapá
2019,144.56113089574197,Ferreira Gomes,1600238,Amapá
2020,145.0088328498941,Ferreira Gomes,1600238,Amapá
2021,145.07848286774515,Ferreira Gomes,1600238,Amapá
2022,145.82681159103865,Ferreira Gomes,1600238,Amapá
2007,84.4650999012468,Itaubal,1600253,Amapá
2008,84.6662678241817,Itaubal,1600253,Amapá
2009,84.6662678241817,Itaubal,1600253,Amapá
2010,88.5297030711944,Itaubal,1600253,Amapá
2011,88.94799712176497,Itaubal,1600253,Amapá
2012,89.18310470635424,Itaubal,1600253,Amapá
2013,89.18310470635424,Itaubal,1600253,Amapá
2014,89.42981383659037,Itaubal,1600253,Amapá
2015,89.42981383659037,Itaubal,1600253,Amapá
2016,89.42981383659037,Itaubal,1600253,Amapá
2017,89.42981383659037,Itaubal,1600253,Amapá
2018,91.2590436214878,Itaubal,1600253,Amapá
2019,91.29760002396338,Itaubal,1600253,Amapá
2020,91.29760002396338,Itaubal,1600253,Amapá
2021,91.37278649311133,Itaubal,1600253,Amapá
2022,91.37278649311133,Itaubal,1600253,Amapá
2007,168.65763839625237,Laranjal do Jari,1600279,Amapá
2008,177.7836785487095,Laranjal do Jari,1600279,Amapá
2009,182.82561753439543,Laranjal do Jari,1600279,Amapá
2010,187.85479460940388,Laranjal do Jari,1600279,Amapá
2011,189.58788115328073,Laranjal do Jari,1600279,Amapá
2012,192.95787800171308,Laranjal do Jari,1600279,Amapá
2013,193.7345069639083,Laranjal do Jari,1600279,Amapá
2014,197.4083466118836,Laranjal do Jari,1600279,Amapá
2015,198.92733681101467,Laranjal do Jari,1600279,Amapá
2016,199.6579253456519,Laranjal do Jari,1600279,Amapá
2017,201.47927318393158,Laranjal do Jari,1600279,Amapá
2018,203.2168142198504,Laranjal do Jari,1600279,Amapá
2019,204.70478889598712,Laranjal do Jari,1600279,Amapá
2020,205.07259370352406,Laranjal do Jari,1600279,Amapá
2021,207.2231201752695,Laranjal do Jari,1600279,Amapá
2022,208.93542692298766,Laranjal do Jari,1600279,Amapá
2007,384.9338923193578,Macapá,1600303,Amapá
2008,391.36054640894724,Macapá,1600303,Amapá
2009,392.1100638149956,Macapá,1600303,Amapá
2010,401.145612012895,Macapá,1600303,Amapá
2011,401.97514450024,Macapá,1600303,Amapá
2012,404.2262516478606,Macapá,1600303,Amapá
2013,405.5977881085002,Macapá,1600303,Amapá
2014,408.2358331443645,Macapá,1600303,Amapá
2015,411.3297900186302,Macapá,1600303,Amapá
2016,413.0043857902769,Macapá,1600303,Amapá
2017,413.6516195892099,Macapá,1600303,Amapá
2018,417.6669418908543,Macapá,1600303,Amapá
2019,424.8801639455632,Macapá,1600303,Amapá
2020,426.3164322409171,Macapá,1600303,Amapá
2021,427.2210837088964,Macapá,1600303,Amapá
2022,427.6508945706629,Macapá,1600303,Amapá
2007,85.0578961455409,Mazagão,1600402,Amapá
2008,100.705596528846,Mazagão,1600402,Amapá
2009,106.60652781148585,Mazagão,1600402,Amapá
2010,107.78754292657459,Mazagão,1600402,Amapá
2011,109.31051180255733,Mazagão,1600402,Amapá
2012,113.79809103614534,Mazagão,1600402,Amapá
2013,114.76803227739299,Mazagão,1600402,Amapá
2014,117.95156060184158,Mazagão,1600402,Amapá
2015,119.89542406071472,Mazagão,1600402,Amapá
2016,121.19815326529752,Mazagão,1600402,Amapá
2017,122.6848969641029,Mazagão,1600402,Amapá
2018,127.28713975692807,Mazagão,1600402,Amapá
2019,129.62251763566707,Mazagão,1600402,Amapá
2020,130.33305239895654,Mazagão,1600402,Amapá
2021,132.79204814292905,Mazagão,1600402,Amapá
2022,135.47547136464624,Mazagão,1600402,Amapá
2007,182.37314388343265,Oiapoque,1600501,Amapá
2008,194.03303941717337,Oiapoque,1600501,Amapá
2009,198.17554035616465,Oiapoque,1600501,Amapá
2010,203.1995071032878,Oiapoque,1600501,Amapá
2011,205.2886691271092,Oiapoque,1600501,Amapá
2012,207.6554781790244,Oiapoque,1600501,Amapá
2013,212.60320971841477,Oiapoque,1600501,Amapá
2014,215.15156705961823,Oiapoque,1600501,Amapá
2015,216.42364230160476,Oiapoque,1600501,Amapá
2016,216.92555096767973,Oiapoque,1600501,Amapá
2017,218.48578369035658,Oiapoque,1600501,Amapá
2018,220.86347680329646,Oiapoque,1600501,Amapá
2019,228.09854230037766,Oiapoque,1600501,Amapá
2020,228.77823452937824,Oiapoque,1600501,Amapá
2021,229.48580330865673,Oiapoque,1600501,Amapá
2022,231.09403772996805,Oiapoque,1600501,Amapá
2007,234.27606509985418,Pedra Branca do Amapari,1600154,Amapá
2008,237.9370219851477,Pedra Branca do Amapari,1600154,Amapá
2009,242.6750574269168,Pedra Branca do Amapari,1600154,Amapá
2010,244.55493725502552,Pedra Branca do Amapari,1600154,Amapá
2011,245.89480924264515,Pedra Branca do Amapari,1600154,Amapá
2012,246.68550719168576,Pedra Branca do Amapari,1600154,Amapá
2013,249.77403124147247,Pedra Branca do Amapari,1600154,Amapá
2014,254.85592118931746,Pedra Branca do Amapari,1600154,Amapá
2015,255.98233618352862,Pedra Branca do Amapari,1600154,Amapá
2016,257.38598535774,Pedra Branca do Amapari,1600154,Amapá
2017,258.8319067185615,Pedra Branca do Amapari,1600154,Amapá
2018,260.8620475119038,Pedra Branca do Amapari,1600154,Amapá
2019,265.77688088336436,Pedra Branca do Amapari,1600154,Amapá
2020,266.7939337001922,Pedra Branca do Amapari,1600154,Amapá
